what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495159977
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495160632
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495161107
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495163528
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495165155
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495166275
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495167728
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495170626
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495174184
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495177706
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495178471
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495181614
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495181925
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495183599
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495185531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495186548
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495187952
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495188372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495189790
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495199263
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495199634
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495202135
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495203990
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495205184
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495205667
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495209800
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495212794
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495213384
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495215160
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495215748
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495222003
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495222323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495223912
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495227146
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495228804
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495229572
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495234516
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495236936
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495237234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495238892
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495242810
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495243400
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495244724
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495245161
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495245735
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495247896
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495248792
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495249924
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495250488
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495251123
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1324495254725
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1324495257573
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495258672
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495259059
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495260921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495271888
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495272995
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495275816
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495280784
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495281091
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495284744
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495287504
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495287841
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495294424
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495303154
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495304354
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495306983
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495307315
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495312296
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495318694
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495319042
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495321768
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495327025
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495327340
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495329016
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495329570
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495331384
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495336331
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495336611
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495337944
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495338242
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495339304
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495344335
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495344690
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495348696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495349427
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495350728
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495355839
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495356242
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495360697
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495365649
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495365959
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495368120
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495372311
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495372589
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495376328
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495382001
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495382330
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495387560
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495391615
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495393074
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495395145
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495398784
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495399138
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495401627
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495403234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495404584
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495406098
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495414377
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495437586
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495438361
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495441792
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495442419
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495445799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495448864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495449162
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495451256
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495452850
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495454472
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495459392
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495459721
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495463976
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1324495467641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495468052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495473496
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495473698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1324495483480
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495487455
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495487955
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495487987
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488020
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488053
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488086
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488119
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488152
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488185
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488218
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488382
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488607
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1324495488735
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1324495489311
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495490415
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495490915
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495490947
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495490980
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495491013
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495491054
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495491246
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1324495491422
